"X","Unnamed..0","BORO","INCIDENT_KEY","JURISDICTION_CODE","LOCATION_DESC","Latitude","Longitude","OCCUR_DATE","OCCUR_TIME","PERP_AGE_GROUP","PERP_RACE","PERP_SEX","PRECINCT","STATISTICAL_MURDER_FLAG","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Zip","OCCUR","year","hour"
3,3,"BROOKLYN",169180024,0,NA,40.6391370430001,-73.951236227,"09/09/2017","15:20:00","18-24","BLACK","M",67,"False","18-24","BLACK","M","997784","172132",11226,2017-09-09 15:20:00,2017,15
5,5,"BROOKLYN",156603440,0,"MULTI DWELL - APT BUILD",40.650928837,-73.930296733,"09/09/2016","20:58:00","25-44","BLACK","M",67,"False","<18","BLACK","M","1003592","176432",11203,2016-09-09 20:58:00,2016,20
11,11,"BROOKLYN",146013532,0,NA,40.674459245,-73.938909896,"09/09/2015","19:03:00","25-44","BLACK","M",77,"True","18-24","BLACK","M","1001196","185003",11213,2015-09-09 19:03:00,2015,19
12,12,"BROOKLYN",145992814,0,"MULTI DWELL - APT BUILD",40.626383199,-73.961620674,"09/09/2015","11:54:00","<18","WHITE HISPANIC","M",70,"False","<18","WHITE HISPANIC","M","994904","167484",11230,2015-09-09 11:54:00,2015,11
16,16,"MANHATTAN",92507648,0,"BAR/NIGHT CLUB",40.75491564,-73.9724759659999,"09/09/2013","3:55:00","25-44","BLACK","M",17,"False","25-44","BLACK","M","991876","214311",10017,2013-09-09 03:55:00,2013,3
17,17,"QUEENS",92525805,0,NA,40.6863284950001,-73.759449585,"09/09/2013","15:14:00","25-44","BLACK","M",113,"False","25-44","BLACK","M","1050964","189413",11412,2013-09-09 15:14:00,2013,15
20,20,"STATEN ISLAND",86664788,0,NA,40.636525003,-74.116231372,"09/09/2012","23:22:00","25-44","BLACK","M",120,"True","18-24","BLACK","M","951991","171198",10310,2012-09-09 23:22:00,2012,23
22,22,"BRONX",80667853,0,NA,40.8419443340001,-73.914248556,"09/09/2011","23:00:00","18-24","BLACK","M",44,"False","18-24","BLACK","F","1007977","246029",10452,2011-09-09 23:00:00,2011,23
23,23,"BRONX",80667853,0,NA,40.8419443340001,-73.914248556,"09/09/2011","23:00:00","18-24","WHITE HISPANIC","M",44,"False","18-24","BLACK","F","1007977","246029",10452,2011-09-09 23:00:00,2011,23
24,24,"BRONX",80667853,0,NA,40.8419443340001,-73.914248556,"09/09/2011","23:00:00","18-24","BLACK","M",44,"False","18-24","BLACK","M","1007977","246029",10452,2011-09-09 23:00:00,2011,23
25,25,"BRONX",80667853,0,NA,40.8419443340001,-73.914248556,"09/09/2011","23:00:00","18-24","WHITE HISPANIC","M",44,"False","18-24","BLACK","M","1007977","246029",10452,2011-09-09 23:00:00,2011,23
26,26,"QUEENS",80667641,0,"MULTI DWELL - APT BUILD",40.70444489,-73.9119728699999,"09/09/2011","22:43:00","18-24","BLACK HISPANIC","M",104,"False","<18","WHITE HISPANIC","M","1008657","195934",11385,2011-09-09 22:43:00,2011,22
