,Unnamed: 0,BORO,INCIDENT_KEY,JURISDICTION_CODE,LOCATION_DESC,Latitude,Longitude,OCCUR_DATE,OCCUR_TIME,PERP_AGE_GROUP,PERP_RACE,PERP_SEX,PRECINCT,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Zip
0,0,STATEN ISLAND,169180023,0.0,,40.63812599100004,-74.08746692099999,09/09/2017,3:57:00,,,,120,False,25-44,BLACK,M,959975,171772,10301
1,1,BRONX,169180027,0.0,,40.869060690000026,-73.90224225899993,09/09/2017,22:15:00,,,,50,False,25-44,BLACK HISPANIC,M,1011288,255912,10468
2,2,BROOKLYN,169180025,2.0,MULTI DWELL - PUBLIC HOUS,40.69645001400005,-73.94360673699998,09/09/2017,18:35:00,,,,79,False,18-24,BLACK,M,999888,193014,11221
3,3,BROOKLYN,169180024,0.0,,40.63913704300006,-73.951236227,09/09/2017,15:20:00,18-24,BLACK,M,67,False,18-24,BLACK,M,997784,172132,11226
4,4,BROOKLYN,169180022,2.0,MULTI DWELL - PUBLIC HOUS,40.59613433800007,-73.93961890199995,09/09/2017,0:20:00,,,,61,False,25-44,ASIAN / PACIFIC ISLANDER,M,1001019,156467,11229
5,5,BROOKLYN,156603440,0.0,MULTI DWELL - APT BUILD,40.65092883700004,-73.93029673299998,09/09/2016,20:58:00,25-44,BLACK,M,67,False,<18,BLACK,M,1003592,176432,11203
6,6,BRONX,156603439,0.0,,40.81410317400002,-73.90202674799998,09/09/2016,20:43:00,,,,41,False,25-44,WHITE HISPANIC,M,1011370,235889,10455
7,7,MANHATTAN,156603438,0.0,,40.82453835300004,-73.93708114099995,09/09/2016,11:50:00,,,,32,False,<18,BLACK,M,1001664,239682,10039
8,8,QUEENS,156552658,0.0,,40.670030345000036,-73.78311288699997,09/09/2016,0:18:00,,,,113,False,25-44,BLACK,M,1044416,183458,11434
9,9,BRONX,146014287,2.0,MULTI DWELL - PUBLIC HOUS,40.883658466000036,-73.847847932,09/09/2015,23:08:00,,,,47,False,25-44,BLACK,M,1026323,261252,10466
10,10,MANHATTAN,146014286,0.0,,40.80270731500008,-73.94918758799997,09/09/2015,23:00:00,,,,28,False,25-44,BLACK,M,998318,231726,10026
11,11,BROOKLYN,146013532,0.0,,40.67445924500004,-73.93890989599998,09/09/2015,19:03:00,25-44,BLACK,M,77,True,18-24,BLACK,M,1001196,185003,11213
12,12,BROOKLYN,145992814,0.0,MULTI DWELL - APT BUILD,40.62638319900003,-73.96162067399997,09/09/2015,11:54:00,<18,WHITE HISPANIC,M,70,False,<18,WHITE HISPANIC,M,994904,167484,11230
13,13,BROOKLYN,138627598,0.0,,40.66641058000005,-73.91948466499997,09/09/2014,17:36:00,,,,73,False,18-24,BLACK,M,1006587,182075,11212
14,14,BROOKLYN,92525610,0.0,MULTI DWELL - PUBLIC HOUS,40.65695242200008,-73.88723913599993,09/09/2013,5:26:00,,,,75,True,18-24,BLACK,M,1015537,178639,11207
15,15,BROOKLYN,92507649,0.0,,40.693333333000055,-73.96000266999994,09/09/2013,4:35:00,,,,79,False,25-44,BLACK,M,995342,191876,11205
16,16,MANHATTAN,92507648,0.0,BAR/NIGHT CLUB,40.754915640000036,-73.97247596599993,09/09/2013,3:55:00,25-44,BLACK,M,17,False,25-44,BLACK,M,991876,214311,10017
17,17,QUEENS,92525805,0.0,,40.686328495000055,-73.75944958499997,09/09/2013,15:14:00,25-44,BLACK,M,113,False,25-44,BLACK,M,1050964,189413,11412
18,18,QUEENS,86650273,0.0,,40.69020274700007,-73.75748479699999,09/09/2012,2:15:00,,,,113,False,18-24,BLACK,M,1051505,190826,11412
19,19,MANHATTAN,86650272,0.0,,40.79814608700008,-73.95035767199995,09/09/2012,2:01:00,,,,28,False,25-44,BLACK,M,997995,230064,10026
20,20,STATEN ISLAND,86664788,0.0,,40.63652500300003,-74.11623137199997,09/09/2012,23:22:00,25-44,BLACK,M,120,True,18-24,BLACK,M,951991,171198,10310
21,21,BROOKLYN,86651100,0.0,,40.677659418000076,-73.94977317399997,09/09/2012,15:47:00,,,,77,False,25-44,BLACK,M,998182,186167,11216
22,22,BRONX,80667853,0.0,,40.84194433400006,-73.91424855599996,09/09/2011,23:00:00,18-24,BLACK,M,44,False,18-24,BLACK,F,1007977,246029,10452
23,23,BRONX,80667853,0.0,,40.84194433400006,-73.91424855599996,09/09/2011,23:00:00,18-24,WHITE HISPANIC,M,44,False,18-24,BLACK,F,1007977,246029,10452
24,24,BRONX,80667853,0.0,,40.84194433400006,-73.91424855599996,09/09/2011,23:00:00,18-24,BLACK,M,44,False,18-24,BLACK,M,1007977,246029,10452
25,25,BRONX,80667853,0.0,,40.84194433400006,-73.91424855599996,09/09/2011,23:00:00,18-24,WHITE HISPANIC,M,44,False,18-24,BLACK,M,1007977,246029,10452
26,26,QUEENS,80667641,0.0,MULTI DWELL - APT BUILD,40.70444489000005,-73.91197286999993,09/09/2011,22:43:00,18-24,BLACK HISPANIC,M,104,False,<18,WHITE HISPANIC,M,1008657,195934,11385
27,27,QUEENS,80667641,0.0,MULTI DWELL - APT BUILD,40.70444489000005,-73.91197286999993,09/09/2011,22:43:00,<18,BLACK HISPANIC,M,104,False,<18,WHITE HISPANIC,M,1008657,195934,11385
28,28,BROOKLYN,80655008,0.0,,40.652409353000046,-73.95433667599998,09/09/2011,13:32:00,,,,67,False,18-24,BLACK,M,996921,176967,11226
